,embedding,name,label,sub_label,parts,sample_id,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,visibleMethodsQty,type,from_project,RM_LOC,RM_LCOM5,RM_NADC,RM_ATFD,RM_WMC
10,"[ -50.60688811  -48.69616535  429.53016496 ... -349.96636292   74.7097967
   94.52902912]",6773071,crit_blob,crit_blob,train,6773071,27,262.0,2,34,25332.0,0.014824178,0.9227764,229,4,228,0,0,1,229,0,0,1,91,1,0,90,1,0.0,0,9,1256.0,232,6,4,1,0,123,2,385,3,152,7,40,2,0,210,1,0,,,,,,,,
11,"[-494.30446837 -175.67455716  243.81924122 ... -638.62013597  -42.90040682
  205.90215348]",7047868,crit_blob,crit_blob,train,7047868,10,575.0,1,138,209.0,0.014705882,0.014705882,22,22,17,5,0,0,17,0,0,0,19,19,2,17,0,0.0,3,94,1080.0,114,17,266,40,146,246,514,250,112,172,10,0,0,0,306,1,0,,,,,,,,
12,"[-106.6856379   -10.60808003  -29.07671126 ... -212.4409775   -69.1307484
   -2.33725335]",7757709,crit_blob,crit_blob,train,7757709,26,22.0,1,34,0.0,1.0,1.0,4,0,2,2,0,0,2,0,0,0,11,2,0,11,0,0.0,11,2,171.0,3,2,1,2,1,9,3,29,3,27,3,1,0,0,108,1,2,,,,,,,,
13,"[-300.5992486    76.38556491 -357.11323105 ... -320.36924957 -303.70034673
   13.41689967]",8528735,crit_blob,crit_blob,test,8528735,99,181.0,2,180,152.0,0.25108224,0.5194805,25,0,19,3,3,0,22,0,0,0,38,1,0,2,2,34.0,1,9,894.0,49,11,84,16,26,119,21,238,35,226,8,3,2,0,395,1025,39,,,,,,,,
14,"[-1.57142466e+02  2.11046523e-01  3.38856366e+01 ... -4.83543467e+02
 -9.91483885e+01 -1.56325225e+02]",8962194,crit_blob,crit_blob,train,8962194,24,326.0,1,81,5890.0,0.21186024,0.6977116,140,2,127,12,1,0,128,0,2,0,20,0,0,20,0,0.0,0,19,1371.0,165,0,130,1,113,10,151,228,0,45,3,0,0,0,155,25,0,,,,,,,,
15,"[-100.78920927   60.73607239   35.71067166 ... -247.23628777   76.11479939
 -121.31055719]",9071167,crit_blob,crit_blob,train,9071167,55,217.0,1,107,80.0,0.5272727,0.6545454,24,0,9,14,1,0,11,0,0,0,12,1,0,10,0,2.0,1,4,731.0,27,18,92,17,29,2,79,259,12,179,7,0,0,0,219,1,0,,,,,,,,
16,"[-4.11717904 -4.03467758  4.11905129 ... -8.66826332 -1.4363662
  9.44554649]",3698323,not_blob,not_blob,train,3698323,6,5.0,1,3,6.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0.0,0,0,13.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,30,1,0,,,,,,,,
17,"[-0.75747906 -1.08241548  3.48332769 ... -3.91807026 -2.20109898
  4.49720275]",3699849,not_blob,not_blob,train,3699849,1,6.0,1,0,15.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0.0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,,,,,,,,
18,"[ -57.00098074  -28.96632835   30.82953723 ... -250.75062194  -63.96861345
  -33.12458035]",3700666,not_blob,not_blob,train,3700666,18,177.0,1,61,2034.0,0.206964,0.5809859,80,2,71,8,1,0,72,0,2,0,10,0,0,10,0,0.0,0,13,739.0,91,0,65,1,54,4,71,111,0,25,3,0,0,0,108,25,0,,,,,,,,
19,"[-13.31146736 -21.50406837  26.6507895  ... -36.76353377 -14.62054978
  37.30910332]",3705164,not_blob,not_blob,test,3705164,2,22.0,1,4,18.0,0.3846154000000001,0.7051281999999999,13,0,13,0,0,0,13,0,0,0,4,1,0,4,0,0.0,1,0,75.0,14,0,7,0,3,0,4,14,4,7,2,0,0,0,33,1,0,,,,,,,,
20,"[  1.93615989  -8.37573732  10.17594144 ... -26.84972217 -14.15673517
  18.07603787]",3710201,not_blob,not_blob,train,3710201,3,28.0,1,2,21.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,81.0,4,6,13,0,32,2,55,30,12,17,1,0,0,0,53,17,0,,,,,,,,
21,"[-30.18373202 -26.28130524  55.24796577 ... -58.54200087 -14.05836478
  50.73650052]",3715636,not_blob,not_blob,test,3715636,2,28.0,1,1,316.0,0.037037037,0.037037037,28,0,28,0,0,0,28,0,0,0,14,0,0,14,0,0.0,0,0,100.0,14,0,0,0,0,0,0,24,0,14,0,0,0,0,49,1,0,,,,,,,,
22,"[-0.55263835 -1.0256106  -0.07995678 ... -0.24739686 -0.6882175
  0.8587295 ]",3717506,not_blob,not_blob,test,3717506,2,1.0,1,0,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,,,,,,,,
23,"[-13.17684819  -0.78646212  -4.26545704 ... -21.85966013 -16.43392673
   7.13234484]",3721456,not_blob,not_blob,train,3721456,15,12.0,2,29,0.0,1.0,1.0,4,0,1,2,0,1,2,0,0,0,2,0,0,2,0,0.0,2,0,62.0,2,3,2,0,1,6,4,18,1,15,2,0,0,0,58,9,0,,,,,,,,
24,"[-10.94273489  -7.36087822  23.39597788 ... -31.58317715  -7.58821564
  19.73188853]",3723043,not_blob,not_blob,train,3723043,2,15.0,1,1,69.0,0.08571429,0.08571429,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0.0,0,0,54.0,7,0,0,0,0,15,5,11,0,7,0,0,0,0,45,1,0,,,,,,,,
25,"[-124.58631974  -19.35530236   71.38713608 ... -295.08214863  -22.96711231
  176.49865483]",3727271,not_blob,not_blob,train,3727271,23,232.0,2,57,0.0,0.9656671999999998,0.9656671999999998,117,0,116,1,0,0,116,0,0,0,1,0,0,1,0,0.0,0,0,926.0,65,0,2,111,0,1,0,8,0,7,2,0,0,0,90,1,0,,,,,,,,
26,"[-18.04616123   1.41434621 -22.84932479 ... -40.8220521  -34.66965938
  -0.86492236]",3754188,not_blob,not_blob,train,3754188,16,32.0,2,36,21.0,0.0,0.0,7,0,5,0,2,0,7,0,0,0,0,0,0,0,0,0.0,0,0,144.0,5,2,14,0,0,17,0,11,1,11,5,0,0,0,52,1,0,,,,,,,,
27,"[-24.33084254 -19.35090346  19.82549614 ... -40.84778664 -17.03154692
  43.40642168]",3756805,not_blob,not_blob,train,3756805,15,28.0,1,18,33.0,0.2,0.5090909,11,0,11,0,0,0,11,0,0,0,6,1,0,6,0,0.0,1,0,80.0,10,1,6,0,2,4,1,10,0,9,2,0,0,0,45,1,1,,,,,,,,
28,"[-23.23389789 -21.88802426  34.42360217 ... -47.54429325  -7.99726059
  39.46643182]",3757097,not_blob,not_blob,train,3757097,9,27.0,2,6,258.0,0.07,0.07,25,0,24,0,1,0,25,0,0,0,7,0,0,3,4,0.0,0,0,90.0,8,0,1,0,0,0,0,11,0,7,1,0,0,0,42,1,0,,,,,,,,
29,"[-2.83975747 -1.96907797  4.53531836 ... -9.33121042 -2.2349928
  6.58985631]",3759000,not_blob,not_blob,train,3759000,1,5.0,1,0,0.0,0.8333333,1.0,4,0,3,0,1,0,4,0,0,0,2,0,0,0,2,0.0,2,0,19.0,2,0,0,0,0,3,0,2,1,2,1,0,0,0,18,1025,0,,,,,,,,
30,"[-23.60748444  -2.73278656   4.76365116 ... -36.68286318 -14.52789944
  10.45003751]",3761009,not_blob,not_blob,test,3761009,5,5.0,1,1,10.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0.0,0,0,48.0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,24,9,0,,,,,,,,
31,[-1.3627268 -0.3274085  2.211573  ... -2.559936  -0.6374935  2.9103737],3762543,not_blob,not_blob,train,3762543,4,1.0,1,0,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,,,,,,,,
32,"[ -6.64220882 -20.04736496  50.34250515 ... -50.16343533 -16.13078663
  44.00732075]",3763661,not_blob,not_blob,test,3763661,4,21.0,2,1,116.0,0.12857144,0.73333335,21,0,20,0,1,0,21,0,0,0,10,0,0,10,0,0.0,0,0,84.0,20,0,0,0,0,11,0,10,2,10,0,0,0,0,155,1,0,,,,,,,,
33,"[ -5.80464873  -0.91350724  20.14407189 ... -16.9151216   -7.00757572
  14.72050907]",3763847,not_blob,not_blob,train,3763847,7,10.0,1,0,29.0,0.17777778,0.8,10,0,10,0,0,0,10,0,0,0,8,0,0,0,8,0.0,0,0,40.0,9,0,0,0,0,27,0,0,2,8,0,0,0,0,36,1,0,,,,,,,,
34,[-1.8627746 -2.4335353  5.9375753 ... -5.048461  -1.1825466  5.469906 ],3764491,not_blob,not_blob,train,3764491,6,3.0,1,0,3.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,2,0.0,0,0,13.0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,11,1,0,,,,,,,,
35,"[ 0.9149139   0.19608212  0.6977484  ... -0.374354    0.20992403
 -0.03274067]",3772084,not_blob,not_blob,train,3772084,3,1.0,1,0,0.0,0.2613972291937913,0.32355633344881946,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,,,,,,,,
36,[0.30757084 0.55705434 1.3132563  ... 0.40142322 0.21111201 0.13499029],3772718,not_blob,not_blob,train,3772718,2,1.0,1,0,0.0,0.2613972291937913,0.32355633344881946,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,,,,,,,,
37,"[ 0.3350143   1.0849607  -4.18631184 ... -8.10579272 -1.88811058
 -5.10370566]",3779095,not_blob,not_blob,train,3779095,9,4.0,2,11,1.0,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0.0,0,0,25.0,1,0,1,0,1,2,1,5,0,5,1,0,0,0,25,9,0,,,,,,,,
38,"[-4.38844612 -7.54731873  4.74462599 ... -9.08639124 -3.20083718
 12.26973584]",3785267,not_blob,not_blob,test,3785267,1,5.0,1,2,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,0,0,2.0,2,0,19.0,4,0,1,0,0,0,0,3,0,3,1,0,0,0,13,10,0,,,,,,,,
39,"[-3.70677745 -1.87007301  3.54455763 ... -2.78027226 -1.6457803
  4.32002205]",3787706,not_blob,not_blob,test,3787706,4,2.0,2,3,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,8.0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,11,9,0,,,,,,,,
40,"[-2.7033658  -0.20501813  4.50770827 ... -4.4987497  -2.9371507
  1.77246405]",3788627,not_blob,not_blob,train,3788627,7,8.0,1,2,0.0,0.33333334,0.33333334,4,3,3,1,0,0,3,0,0,0,164,164,164,0,0,0.0,164,0,195.0,3,0,4,0,5,16,104,164,16,164,0,0,0,0,398,17,0,,,,,,,,
41,"[-50.39739502 -18.96731549  64.3289846  ... -88.46041385 -25.49698785
  53.89132931]",3789205,not_blob,not_blob,train,3789205,10,48.0,1,22,122.0,0.033333335,0.05,17,0,2,1,14,0,16,1,9,0,4,0,0,4,0,0.0,4,5,180.0,18,2,9,4,0,0,6,20,0,17,5,0,0,0,118,1034,0,,,,,,,,
42,"[ -82.50598786  -85.05445282  125.23763394 ... -170.21143682  -49.75653737
  181.49867316]",3791832,not_blob,not_blob,train,3791832,19,64.0,3,24,499.0,0.3295626,0.5045248999999999,54,0,52,2,0,0,52,0,0,0,9,0,0,6,0,3.0,0,1,242.0,51,1,4,1,2,8,8,21,5,13,2,0,1,0,87,1,0,,,,,,,,
43,"[-0.54475442 -0.51484755  1.62578472 ... -1.35615671 -0.23894176
  1.46053162]",3795599,not_blob,not_blob,train,3795599,4,2.0,1,2,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,0,2,0.0,1,0,10.0,0,0,0,0,0,3,0,2,1,2,0,0,0,0,12,9,1,,,,,,,,
44,"[-18.93623895 -17.37784068  15.99545436 ... -33.8399793   -7.97133398
  40.10076548]",3797814,not_blob,not_blob,train,3797814,2,20.0,1,3,0.0,1.0,1.0,10,0,9,0,0,1,10,0,0,0,5,0,3,2,0,0.0,0,3,90.0,11,0,4,1,5,13,21,23,4,9,2,0,0,0,50,9,0,,,,,,,,
45,"[ 1.03611213e+00 -1.05430053e+00  3.55404341e+00 ... -3.61263366e+00
 -9.95129347e-04  2.65409589e+00]",3804138,not_blob,not_blob,train,3804138,4,9.0,1,6,0.0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,1,0,2.0,1,0,52.0,2,1,0,2,0,3,6,12,1,4,2,0,0,0,39,1,2,,,,,,,,
46,"[-3.47003219 -3.94269346  4.37519002 ... -5.38872766 -3.03455278
  7.41848695]",3812473,not_blob,not_blob,test,3812473,0,3.0,1,1,0.0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,2,0,0,0.0,0,0,14.0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,8,1,0,,,,,,,,
47,"[-14.18719868   1.36252489  14.26732696 ... -45.57014795 -27.0247938
  11.28995572]",3813750,not_blob,not_blob,test,3813750,20,19.0,1,29,25.0,0.35897437,0.7051281999999999,14,0,13,1,0,0,13,0,0,0,5,0,0,5,0,0.0,4,0,89.0,10,0,2,2,0,2,2,17,0,17,1,0,0,0,135,1,0,,,,,,,,
48,"[-21.41738903 -28.33323686  47.56524713 ... -77.67917052 -20.03578414
  59.75484862]",3814315,not_blob,not_blob,train,3814315,4,39.0,2,17,3.0,0.4857143,0.74285716,15,0,15,0,0,0,15,0,0,0,7,0,0,1,6,0.0,0,0,142.0,22,0,15,0,12,5,8,23,14,10,2,0,0,0,55,1,0,,,,,,,,
49,"[ -8.20447463  -9.96123937   7.03454445 ... -11.51967709  -4.4137941
  14.05628557]",3817323,not_blob,not_blob,train,3817323,4,8.0,1,4,0.0,0.96428573,1.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0.0,0,0,31.0,5,0,0,0,0,1,0,6,1,2,0,0,0,0,16,9,0,,,,,,,,
50,"[ -6.06690571  -8.83427736  14.59026083 ... -20.10838851  -3.54780824
  14.69265148]",3819835,not_blob,not_blob,train,3819835,10,12.0,2,11,12.0,0.16666667,0.16666667,8,0,4,4,0,0,4,0,0,1,3,0,0,3,0,0.0,0,0,42.0,3,0,1,1,1,1,0,3,0,3,4,0,0,0,35,1,1,,,,,,,,
51,"[-11.14460553 -10.94264881  20.66976713 ... -28.72382017   0.04372628
  25.51034189]",3820002,not_blob,not_blob,train,3820002,12,13.0,1,2,33.0,0.16363636,0.29090908,11,0,10,0,0,1,11,0,0,0,5,0,0,5,0,0.0,1,0,47.0,10,0,1,0,0,0,0,6,0,6,1,0,0,0,45,8,0,,,,,,,,
52,"[-43.25210998 -21.95747814  47.25469607 ... -66.24489249   8.14862635
  65.15741655]",3827991,not_blob,not_blob,test,3827991,6,46.0,2,15,0.0,0.8181818000000001,0.8181818000000001,13,0,11,2,0,0,11,0,0,0,3,0,0,3,0,0.0,0,0,122.0,7,9,18,0,3,7,17,30,4,20,2,0,0,0,90,1,0,,,,,,,,
53,"[-5.28234309 -2.53389633  3.64052904 ... -8.72944827  0.90857807
  0.76394248]",3846700,not_blob,not_blob,train,3846700,3,3.0,1,6,0.0,0.2613972291937913,0.32355633344881946,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,20.0,1,0,0,1,0,2,0,5,0,3,2,0,0,0,24,1,0,,,,,,,,
54,"[-1.58703008 -3.94508794  4.32397893 ... -5.75901981 -2.28481147
  6.33161853]",3850165,not_blob,not_blob,train,3850165,2,4.0,1,0,0.0,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0.0,0,0,17.0,3,0,0,0,0,1,0,2,1,2,0,0,0,0,11,1,0,,,,,,,,
55,"[-27.15027022 -28.19459124  54.33819243 ... -86.39939918 -13.88567285
  51.01782754]",3856241,not_blob,not_blob,test,3856241,11,41.0,1,12,9.0,0.2,0.2,7,3,4,1,0,2,6,0,1,0,1,0,0,1,0,0.0,0,2,99.0,11,7,14,0,1,6,21,22,8,14,4,0,1,0,110,1,0,,,,,,,,
56,"[-10.24002007  -4.24884834  -3.51811889 ... -14.10204674 -11.17176238
  11.46935777]",3856873,not_blob,not_blob,test,3856873,7,9.0,1,11,1.0,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,2,0,0,2,0,0.0,0,0,36.0,1,4,0,1,0,7,0,8,1,8,5,0,0,0,28,1,1,,,,,,,,
57,"[-12.94046432 -12.9408349   37.86692971 ... -39.80154467  -8.64273115
  35.96776605]",3857472,not_blob,not_blob,test,3857472,8,23.0,2,10,116.0,0.21904762,0.5714286,21,7,21,0,0,0,21,0,0,0,4,0,0,4,0,0.0,0,2,79.0,16,0,2,0,0,6,1,7,0,4,1,0,0,0,42,1,0,,,,,,,,
58,"[-60.37238182 -37.63175198  88.59348215 ... -79.82696921 -14.79391384
  77.47867449]",3858066,not_blob,not_blob,train,3858066,32,41.0,1,6,545.0,0.042016808,0.048739497,35,0,35,0,0,0,35,0,0,0,20,0,0,20,0,0.0,0,0,142.0,23,0,4,0,0,42,4,24,5,22,1,0,0,0,89,1,0,,,,,,,,
59,"[-14.62796117 -11.77263486  16.43754214 ... -27.38608167 -11.73986615
  19.48081186]",3860739,not_blob,not_blob,train,3860739,9,7.0,1,12,3.0,0.0,0.0,3,3,2,1,0,0,2,0,0,0,4,4,0,4,0,0.0,4,3,68.0,3,3,0,1,0,3,0,11,1,11,4,1,1,0,47,1,0,,,,,,,,
60,"[-15.80778121  -5.93197153  17.42562006 ... -26.46632731  -4.53131446
  21.32308434]",3862557,not_blob,not_blob,train,3862557,1,13.0,1,3,0.0,0.9,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0.0,0,0,51.0,9,0,6,2,0,3,0,6,0,2,2,0,0,0,20,1,0,,,,,,,,
61,"[-10.93238747  -7.26812117  11.46757683 ... -18.54113878   4.19232581
   1.14796652]",3862792,not_blob,not_blob,train,3862792,13,8.0,1,26,0.0,1.0,1.0,4,0,3,1,0,0,3,0,0,1,7,3,2,3,0,2.0,3,2,46.0,4,0,0,0,0,10,1,13,3,12,1,0,0,0,57,1,2,,,,,,,,
62,"[-12.78860298  -9.07503711   9.61358035 ... -19.32545623  -1.29334626
   7.01160137]",3863486,not_blob,not_blob,train,3863486,10,7.0,1,10,0.0,0.71428573,0.71428573,7,0,7,0,0,0,7,0,0,0,2,0,0,0,0,2.0,0,0,25.0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,22,1,0,,,,,,,,
63,"[-2.09851984 -1.80692149  2.65416846 ... -6.15444677 -2.96185541
  6.34021631]",3868578,not_blob,not_blob,train,3868578,4,4.0,2,6,0.0,0.2613972291937913,0.32355633344881946,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,18.0,2,2,0,1,0,0,0,2,0,2,2,0,0,0,23,1,0,,,,,,,,
64,"[ 2.12335938  0.85922995  0.8170417  ... -0.27837101 -0.22785337
 -0.23634084]",3869760,not_blob,not_blob,train,3869760,0,2.0,1,0,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,,,,,,
65,"[-7.4848223  -3.42722908  2.08447662 ... -8.2742148  -0.72408825
  3.81469214]",3874200,not_blob,not_blob,train,3874200,3,2.0,1,0,1.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0,0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,1,0,,,,,,,,
66,"[-10.12337986  -7.11956766   4.94439325 ...  -8.01308727   0.37934376
   0.61969054]",3879965,not_blob,not_blob,train,3879965,12,3.0,1,17,1.0,0.2613972291937913,0.32355633344881946,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0.0,0,1,16.0,2,0,0,0,0,2,0,1,0,2,1,0,0,0,26,1,0,,,,,,,,
67,"[-19.86179472 -20.86323707  21.35280352 ... -34.06954133  -1.00087559
  23.87968358]",3881454,not_blob,not_blob,train,3881454,14,15.0,1,32,15.0,0.0,0.0,6,0,4,2,0,0,4,0,0,0,3,1,0,3,0,0.0,1,3,46.0,10,1,2,0,0,4,1,7,1,7,2,0,0,0,59,1,0,,,,,,,,
68,"[-2.39174968 -0.15456179  3.4546639  ... -1.02363019 -0.85089996
 -0.42751783]",3888459,not_blob,not_blob,train,3888459,2,2.0,2,1,1.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0,0,10.0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,10,1,0,,,,,,,,
69,"[-53.55107866 -31.97994896  52.065066   ... -80.06565529  21.44474361
  73.45095107]",3888598,not_blob,not_blob,test,3888598,9,34.0,2,21,0.0,0.8004926,0.8004926,30,0,28,1,1,0,29,0,0,0,2,0,0,2,0,0.0,2,1,121.0,25,2,2,0,1,0,3,9,2,8,2,2,0,0,56,10,0,,,,,,,,
70,"[ -8.39978969  -6.14734771  11.77882999 ... -13.5477058    2.76975247
   6.42880324]",3891048,not_blob,not_blob,train,3891048,3,5.0,2,3,6.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0.0,0,0,22.0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,14,1,0,,,,,,,,
71,"[-4.62016723 -3.47580537  2.84583005 ... -4.13216795 -1.760941
  5.83046174]",3897581,not_blob,not_blob,test,3897581,5,3.0,2,3,3.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0.0,1,0,12.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,32,1,1,,,,,,,,
72,"[-4.92122012 -6.00746352  5.84968498 ... -9.11731697 -2.56225495
 10.5654835 ]",3898760,not_blob,not_blob,test,3898760,4,3.0,2,1,0.0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0.0,3,0,28.0,2,0,0,0,0,2,1,3,1,3,0,0,1,0,30,1,0,,,,,,,,
