,file,type,cbo,wmc,RM_WMC,dit,rfc,lcom,RM_LCOM5,tcc,lcc,totalMethodsQty,RM_NMD,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,RM_NAD,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,RM_LOC,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,sample_id_x,RM_NADC,RM_ATFD,[NOM] > 15|[NOF] > 15,[NOM] + [NOF] > 20,[CLOC] > 750|[NOM] + [NOF] > 20,([ATFD] > 2) & ([WMC] ≥ 47) & ([TCC] < 0.33),([WMC] ≥ 47) & ([TCC] < 0.3) & ([ATFD] > 5),"[LCOM] ≥ 0,725 & [WMC] ≥ 34 & [NOF] ≥ 8 & [NOM] ≥ 14",[CLOC] > 100|[VG] > 20,([NOM] > 20)|([NOF] > 9)|([CLOC] > 750),ALL,ANY,MAJOR VOTES,parts,label
30,6115582,class,3,1,1,1,1,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,6,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,11,10,0,6115582,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
31,6178268,class,3,1,1,1,9,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,11,8,1,0,0,0,0,4,0,2,0,2,0,0,0,0,17,1,0,6178268,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
32,6179479,interface,2,1,1,1,0,0,0.0,-1.0,-1.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,6179479,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
33,6181780,interface,3,6,6,1,0,15,0.0,0.0,0.0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,6181780,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
34,6183095,class,5,4,4,2,1,4,0.8333,0.16666667,0.16666667,4,1,0,3,0,1,0,4,0,0,0,2,2,1,1,1,0,0,2,0,0,19,12,2,0,0,0,0,0,0,2,0,2,0,0,1,0,18,1,0,6183095,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
35,6191838,class,3,5,5,1,5,0,2.0,-1.0,-1.0,2,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,13,10,1,0,1,0,2,0,0,2,0,2,1,0,0,0,15,26,0,6191838,0,1,0,0,0,0,0,0,0,0,0,0,0,train,0
36,6192975,class,9,10,9,2,15,0,0.5,1.0,1.0,4,3,0,2,1,1,0,3,0,0,0,2,2,0,0,2,0,0,2,0,0,36,32,3,0,1,0,1,1,4,5,0,5,1,0,0,0,26,1,0,6192975,0,0,0,0,0,0,0,0,0,0,0,0,0,train,1
37,6197424,class,4,14,14,1,4,12,0.6667,0.4090909,1.0,12,6,0,12,0,0,0,12,0,0,0,3,3,0,0,3,0,0,0,0,0,55,50,11,0,1,0,1,4,4,11,8,5,1,0,0,0,20,1,0,6197424,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
38,6207228,class,7,12,12,1,8,39,0.85,0.14545454,0.29090908,11,6,0,11,0,0,0,11,0,0,0,4,4,0,0,4,0,0,2,0,0,46,40,5,0,1,0,0,0,2,11,1,8,1,0,0,0,61,1,0,6207228,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
39,6213525,class,3,5,4,2,2,1,0.5,0.33333334,0.33333334,3,2,0,3,0,0,0,3,0,0,0,1,1,0,0,1,0,0,1,0,0,17,14,3,1,0,0,0,0,0,1,0,1,2,0,0,0,14,1,0,6213525,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
40,6216254,class,29,41,44,2,21,210,0.0,0.0,0.0,21,20,2,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,125,123,32,0,5,1,0,12,0,13,5,13,2,0,0,0,57,1,0,6216254,0,0,1,1,1,0,0,1,1,1,0,1,1,test,1
41,6221911,class,2,3,2,1,5,1,0.0,-1.0,-1.0,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,10,2,1,0,0,1,0,0,2,0,1,1,0,0,0,27,1,0,6221911,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
42,6235781,class,19,3,3,2,24,1,1.0,0.33333334,0.33333334,3,3,0,3,0,0,0,3,0,0,0,3,3,0,1,2,0,0,0,0,0,89,41,1,0,0,0,0,0,18,9,2,10,0,1,2,0,55,1,0,6235781,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
43,6239751,class,11,19,15,1,28,3,1.0,0.0,0.0,3,3,0,2,1,0,0,2,0,0,0,1,1,1,0,1,0,0,1,0,0,81,78,1,7,4,0,3,2,9,24,1,18,5,0,0,0,73,1,0,6239751,0,0,0,0,0,0,0,0,0,0,0,0,0,train,1
44,6245494,class,0,16,12,1,2,19,0.7778,0.2888889,0.64444447,10,6,0,10,0,0,0,10,0,10,0,4,4,0,0,4,0,0,0,0,0,42,36,6,0,4,0,0,2,3,5,0,4,1,0,0,0,89,1,0,6245494,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
45,6257015,class,0,2,2,1,0,0,2.0,1.0,1.0,2,0,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,9,6,1,0,0,0,0,1,0,2,0,1,0,0,0,0,6,9,0,6257015,0,1,0,0,0,0,0,0,0,0,0,0,0,train,0
46,6263358,class,4,21,21,2,12,8,0.6389,0.44871795,0.5769231,13,8,0,13,0,0,0,13,0,0,0,3,3,0,0,3,0,0,0,0,0,97,92,13,0,7,0,1,10,10,15,9,7,1,0,0,0,93,1,0,6263358,0,0,0,0,0,0,0,0,1,0,0,1,1,train,0
47,6267409,class,4,6,6,2,5,1,0.5,0.33333334,0.33333334,3,2,0,3,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,20,17,4,0,2,0,0,0,0,3,0,3,1,0,0,0,30,1,0,6267409,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
48,6328141,class,0,6,6,1,0,9,0.8,0.2,0.2,6,0,0,6,0,0,0,6,0,0,0,3,3,0,0,3,0,0,0,0,0,23,18,3,0,0,0,0,0,0,3,0,3,0,0,0,0,10,1,0,6328141,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
49,6328547,class,2,0,0,2,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0,6328547,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
50,6306158,class,8,16,15,1,17,0,0.4,0.8,1.0,6,6,6,6,0,0,0,6,0,0,0,3,3,3,3,0,0,0,3,0,0,58,53,6,2,2,0,0,6,0,13,0,9,3,0,0,0,73,1,0,6306158,0,0,0,0,0,0,0,0,0,0,0,0,0,test,1
51,6329919,class,29,35,34,2,64,91,1.0,0.0,0.0,14,13,0,11,3,0,0,11,0,0,0,1,1,1,0,1,0,0,1,0,0,238,235,9,3,7,2,0,33,3,75,1,75,3,0,0,5,88,1,1,6329919,0,0,0,0,0,0,0,1,1,0,0,1,1,test,1
52,6350501,class,10,472,471,1,76,66,0.8143,0.083333336,0.083333336,48,46,0,9,39,0,0,9,0,0,0,10,11,0,0,10,0,0,3,0,5,1515,1257,180,23,106,11,5,0,65,222,39,107,6,0,2,0,502,17,0,6350501,0,0,1,1,1,0,0,1,1,1,0,1,1,train,1
53,6312810,class,11,4,4,1,0,6,0.0,0.0,0.0,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,6312810,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
54,6340836,class,6,1,1,1,0,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,9,0,6340836,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
55,6424683,interface,1,1,1,1,0,0,0.0,-1.0,-1.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,6424683,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
56,6392412,class,5,2,2,1,4,0,0.5,1.0,1.0,2,2,0,2,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,0,25,21,0,0,0,0,0,12,9,9,2,9,0,1,0,0,31,1,0,6392412,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
57,6427227,class,2,1,1,2,0,0,0.0,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0,6427227,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
58,6432897,interface,1,0,0,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6432897,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
59,6385711,class,7,9,9,2,8,0,0.0,1.0,1.0,9,8,0,9,0,0,0,9,0,0,0,1,1,0,0,1,0,0,1,0,0,83,27,6,0,0,0,0,0,0,1,0,1,0,0,1,0,138,1,0,6385711,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
60,6412439,class,3,29,26,1,12,38,0.8667,0.35238096,1.0,16,10,0,15,1,0,0,15,0,0,0,8,8,1,0,8,0,0,1,0,0,88,72,13,0,7,0,3,4,4,16,0,9,1,0,1,0,55,1,0,6412439,0,0,1,1,1,0,0,1,1,0,0,1,1,train,0
61,6452606,class,6,9,8,1,2,0,1.3333,0.6666667,1.0,4,2,0,0,0,0,4,4,0,0,0,4,4,0,0,0,0,4,1,0,0,45,26,1,1,2,0,1,0,0,8,0,5,2,0,1,0,25,8,0,6452606,0,5,0,0,0,0,0,0,0,0,0,0,0,train,0
62,6458155,class,11,5,5,1,5,0,0.8333,0.5,0.5,4,2,0,4,0,0,0,4,0,0,0,2,2,1,1,1,0,0,2,0,0,19,15,2,0,0,0,1,1,0,2,0,2,1,0,0,0,38,1,0,6458155,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
63,6446491,class,8,2,2,2,0,1,0.0,0.0,0.0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,6446491,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
64,6466237,class,5,4,5,1,6,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,1,1,1,1,0,0,0,2,0,2,2,0,0,0,23,1,1,6466237,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
65,6445346,class,3,8,8,2,12,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,35,33,4,1,4,0,2,5,12,15,5,10,2,0,0,0,20,1,0,6445346,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
66,6383930,class,6,12,11,2,4,2,0.7143,0.4642857,1.0,8,4,0,8,0,0,0,8,0,0,0,4,4,0,0,0,4,0,0,0,1,44,38,3,3,0,0,0,2,5,7,1,6,2,0,0,0,44,1,0,6383930,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
67,6464947,class,2,5,5,1,5,1,1.5,0.33333334,0.33333334,3,1,0,0,0,0,3,3,0,1,0,1,1,0,0,0,0,1,0,0,0,18,15,2,1,1,0,1,0,1,3,0,3,1,0,0,0,12,24,0,6464947,0,1,0,0,0,0,0,0,0,0,0,0,0,train,0
68,6493535,class,9,12,12,2,8,0,0.0,-1.0,-1.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,52,0,0,4,3,0,4,0,11,4,7,3,0,1,0,67,1,0,6493535,0,0,0,0,0,0,0,0,0,0,0,0,0,train,1
69,6494643,class,1,1,1,2,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,6494643,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
70,6503132,class,4,8,7,2,6,6,0.0,0.0,0.0,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,6,1,1,0,4,0,2,0,2,0,2,0,0,0,22,1,0,6503132,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
71,6511935,class,27,17,17,2,68,21,1.0,0.0,0.0,7,6,0,3,1,3,0,6,0,0,0,1,1,1,0,1,0,0,1,0,0,130,127,4,2,3,1,2,7,9,39,5,38,2,0,0,1,161,1,1,6511935,0,0,0,0,0,0,0,0,1,0,0,1,1,train,1
72,6470701,class,7,19,18,2,21,55,0.0,0.0,0.0,11,8,2,1,0,5,5,11,1,5,0,0,0,0,0,0,0,0,0,0,1,65,63,8,0,3,1,1,0,5,7,2,5,3,0,0,0,63,1024,0,6470701,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
73,6519143,class,5,4,4,1,0,6,0.0,0.0,0.0,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,6519143,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
74,6522495,class,6,6,6,2,2,0,0.6,0.4,0.6666667,6,4,0,6,0,0,0,6,0,0,0,3,3,0,0,3,0,0,0,0,0,25,20,4,0,0,0,0,0,0,3,0,3,0,0,0,0,19,1,0,6522495,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
75,6483192,class,8,26,26,2,19,0,0.3333,0.0,0.0,4,3,0,2,2,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,2,116,113,6,4,4,2,3,27,18,25,9,15,4,0,0,0,88,1,0,6483192,0,0,0,0,0,0,0,0,1,0,0,1,1,train,0
76,6546542,class,1,0,0,2,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,6546542,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
77,6535592,class,3,4,4,1,4,0,0.0,-1.0,-1.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,1,0,2,0,0,0,2,5,0,3,2,0,0,0,46,1,0,6535592,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
78,6548259,interface,1,1,1,1,0,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,6548259,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
79,6520782,class,18,17,15,1,16,8,0.75,1.0,1.0,5,4,3,2,3,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,6,60,56,2,4,0,0,5,0,0,10,0,10,3,0,0,0,42,1,0,6520782,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
80,6546066,class,9,5,4,2,9,3,1.5,0.0,0.0,3,3,0,2,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,19,9,0,1,0,0,0,0,0,3,0,4,1,0,0,0,83,1,0,6546066,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
81,6550344,class,3,6,6,2,4,4,0.6667,0.16666667,0.16666667,4,3,0,2,0,2,0,4,1,0,0,3,3,0,0,3,0,0,0,0,0,22,17,0,0,2,0,0,0,0,3,0,3,1,0,0,0,17,1025,0,6550344,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
82,6547476,class,2,7,7,1,0,21,0.0,0.0,0.0,7,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,6,0,0,0,0,1,1,0,0,0,0,0,0,0,31,1,0,6547476,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
83,6551559,class,4,7,7,2,8,0,0.5,0.5,0.5,4,2,0,3,0,1,0,4,0,0,0,2,2,0,0,1,1,0,0,0,1,33,22,0,2,1,0,0,1,5,8,0,6,1,1,0,0,54,1,0,6551559,0,0,0,0,0,0,0,0,0,0,0,0,0,train,0
84,6564431,class,4,2,2,1,0,1,0.0,0.0,0.0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,6564431,0,0,0,0,0,0,0,0,0,0,0,0,0,test,0
