,embedding,name,label_x,parts,sample_id,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
15,[-2.5200992 -2.5129557  3.5578682 ... -4.7375994 -0.6987585  6.496321 ],3724040,not_lm,train,3724040,0.0,65.0,1.0,2.0,3.0,6.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0,0.0,1.0
16,"[ 0.10751557  0.19726175  3.5388594  ... -4.5923395   0.19984439
  1.3062493 ]",3725026,not_lm,train,3725026,0.0,132.0,2.0,2.0,2.0,9.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0
17,"[-4.13983859  0.40166784  0.01109686 ... -8.15948062 -5.5208506
  2.61977277]",3725378,not_lm,train,3725378,0.0,398.0,3.0,1.0,1.0,16.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,4.0,0.0,0.0
18,"[-2.7627854  -0.76407725  2.1840556  ... -6.5204725  -1.2945446
  4.206988  ]",3727277,not_lm,train,3727277,0.0,81.0,0.0,2.0,2.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0
19,"[ -9.01285489  -5.96494333   9.79726717 ... -14.76352726  -6.33563278
  16.51054496]",3730280,not_lm,train,3730280,0.0,181.0,1.0,2.0,2.0,24.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,20.0,1.0,0.0,0.0
20,"[-1.0402478  -0.8256077   2.5370936  ... -1.892353   -0.29857647
  0.6065552 ]",3735879,not_lm,test,3735879,0.0,227.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
21,"[ 10.355383   -1.3526044  -4.8635745 ... -10.788404    6.2760205
 -23.461132 ]",3738168,not_lm,train,3738168,0.0,4178.0,1.0,4.0,2.0,53.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,17.0,8.0,21.0,34.0,0.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0
22,"[-2.8406541  -1.40429887  1.05835864 ... -3.19958401 -2.83345354
  1.37731351]",3741534,not_lm,test,3741534,0.0,38.0,4.0,1.0,4.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
23,"[-2.34906457 -1.14077745  2.07291573 ... -2.84699045 -0.07517293
  2.57510348]",3742330,not_lm,train,3742330,0.0,270.0,2.0,5.0,3.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,24.0,10.0,0.0,1.0
24,"[ 0.0989033  -1.4037818   1.1566662  ... -2.264347   -0.92855227
  1.6866122 ]",3743029,not_lm,train,3743029,0.0,69.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
25,"[-1.0527884  -0.14478478  0.28127447 ... -2.8106608  -0.25983727
  2.5460432 ]",3749791,not_lm,train,3749791,0.0,910.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
26,"[-0.8653786   0.05126268  0.18118584 ... -2.8988     -0.10197285
  2.4100976 ]",3753086,not_lm,train,3753086,0.0,1321.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
27,"[-0.844462   -1.3333037   1.3831944  ... -2.3687968  -0.79806936
  1.8361189 ]",3753095,not_lm,train,3753095,0.0,327.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
28,"[-0.22123826 -1.8189657   1.8355737  ... -2.4058137  -0.8216343
  2.378645  ]",3762849,not_lm,test,3762849,1.0,69.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
29,"[ 0.42102647 -0.4291166   1.6166022  ... -3.8576598   1.2470452
  0.53471446]",3763789,not_lm,train,3763789,0.0,55815.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,26.0,9.0,0.0,1.0
30,"[-2.3709059  -2.4063337   4.284863   ... -2.4642634  -0.89588857
  4.538312  ]",3770892,not_lm,train,3770892,0.0,355.0,0.0,1.0,3.0,6.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,10.0,0.0,1.0
31,"[-2.06048903 -2.0025756   4.12076342 ... -4.00448884  2.77782741
  4.19834401]",3775458,not_lm,train,3775458,0.0,2650.0,0.0,3.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,10.0,0.0,0.0
32,[-5.402459  -4.267351   4.988111  ... -7.9664702  2.1816845  8.843773 ],3780834,not_lm,train,3780834,0.0,102.0,1.0,2.0,8.0,10.0,0.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,17.0,0.0,0.0
33,"[-0.4881335   0.34411317  5.394176   ... -8.354929   -2.0468302
 -0.20337486]",3782985,not_lm,test,3782985,0.0,2101.0,2.0,4.0,5.0,18.0,3.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,52.0,10.0,0.0,1.0
34,[-6.037582  -2.4253123  2.504347  ... -6.9766645 -2.4770381  7.0342646],3784303,not_lm,test,3784303,0.0,236.0,3.0,2.0,5.0,9.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0
35,"[-4.696096   -0.85686785  2.5598564  ... -4.3242226  -2.2915044
  4.225218  ]",3785309,not_lm,test,3785309,0.0,29.0,4.0,1.0,7.0,6.0,0.0,1.0,2.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0
36,"[-2.380496   -0.26121008  0.05105102 ... -2.9701765  -1.4660839
 -0.02574348]",3790421,not_lm,train,3790421,0.0,245.0,1.0,1.0,6.0,6.0,1.0,3.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,17.0,0.0,0.0
37,[-4.0169964 -0.2622911  3.4979405 ... -2.4325414  1.6380161  2.4973443],3791275,not_lm,train,3791275,0.0,544.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0
38,"[-2.5212493  -0.78392816  0.4094956  ... -3.6665244   0.8246585
  2.0000572 ]",3794102,not_lm,train,3794102,0.0,932.0,1.0,1.0,3.0,5.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
39,"[ -5.57363     2.973472   -3.7129154 ... -12.696953   -2.2662175
  -5.1976414]",3796407,not_lm,train,3796407,0.0,48412.0,4.0,5.0,8.0,27.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0
40,"[-2.7384205  -1.2197744   0.17023778 ... -4.4443645  -1.7756983
  2.919054  ]",3799104,not_lm,train,3799104,0.0,99.0,0.0,2.0,2.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,9.0,1.0,0.0
41,[-3.8896666 -1.2811807  0.9473918 ... -5.0858464 -1.0821341  4.328224 ],3800392,not_lm,train,3800392,0.0,54.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
42,[-2.958702  -1.7267845  1.6999462 ... -3.8885512 -1.5158027  3.9827495],3801914,not_lm,train,3801914,0.0,135.0,1.0,2.0,2.0,8.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,10.0,9.0,0.0,0.0
43,"[-0.97074443  0.15204638  0.77594066 ... -2.4081717  -0.929731
 -1.5946803 ]",3803712,not_lm,test,3803712,0.0,225.0,4.0,1.0,4.0,7.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0
44,"[-2.7897563  -2.7493107   4.6838465  ... -5.665587   -0.39473996
  7.6269197 ]",3804285,not_lm,train,3804285,0.0,113.0,1.0,3.0,4.0,10.0,2.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0
45,"[ -4.811551   -4.9157057   2.769402  ... -11.395671   -5.7922974
   7.866563 ]",3807471,not_lm,train,3807471,0.0,353.0,1.0,3.0,6.0,12.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
46,"[-3.70572916 -1.21578864  0.61647806 ... -6.52745163 -2.07633266
  5.16135234]",3808598,not_lm,train,3808598,0.0,1152.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
47,"[-2.54989243 -0.40345483  3.89998762 ... -5.98658016 -0.98747706
  5.58273272]",3809437,not_lm,train,3809437,0.0,172.0,1.0,2.0,3.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,1.0,1.0
48,[-1.7458094 -1.7345798  2.854703  ... -2.3547957 -1.2931247  4.7572355],3811653,not_lm,train,3811653,0.0,138.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
49,"[ -3.8012242  -3.815038    5.7191978 ... -17.091227   -5.014806
   8.535973 ]",3812099,not_lm,train,3812099,0.0,113.0,1.0,10.0,3.0,31.0,8.0,5.0,1.0,3.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0
50,"[ 1.03118998 -0.52402283  3.54038578 ... -1.85297655  0.5490704
 -1.87543125]",3814167,not_lm,train,3814167,1.0,277.0,2.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0
51,"[-4.30755323 -2.67754317  2.95107761 ... -6.02505012 -2.24611983
  5.06886715]",3817294,not_lm,test,3817294,0.0,365.0,3.0,3.0,3.0,9.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0
52,[-1.373881  -1.6485562  2.1456795 ... -5.150583  -2.8718922  2.4563136],3818939,not_lm,train,3818939,1.0,64.0,2.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,21.0,1.0,0.0,1.0
53,"[ 1.82913911  1.33746985  5.06714122 ... -6.52468307  1.85201383
  3.52723089]",3819885,not_lm,train,3819885,0.0,107319.0,3.0,3.0,2.0,9.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0
54,[ 0.7404257 -2.5909302  3.4677067 ... -1.4259839  0.9228625 -0.6431911],3823798,not_lm,train,3823798,1.0,61.0,1.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
55,[-2.9164004 -0.6580369  2.939701  ... -3.6810756 -4.1303535  5.4339943],3824920,not_lm,train,3824920,0.0,59.0,1.0,2.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,47.0,1.0,0.0,1.0
56,"[-0.75870645 -1.2192352   1.3505011  ... -2.0787055  -0.8348299
  3.6990416 ]",3825676,not_lm,train,3825676,0.0,261.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,65536.0,0.0,0.0
57,"[-7.0185547  -0.7888526   0.27228248 ... -7.88964    -3.3816237
  5.3850946 ]",3828619,not_lm,test,3828619,0.0,260.0,2.0,5.0,5.0,19.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,15.0,1.0,0.0,0.0
58,"[-1.16293214  0.33065639  0.1246466  ... -2.30285162 -0.66823795
  0.23314275]",3829184,not_lm,train,3829184,0.0,256.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
59,"[ 4.190664   -0.03877431  3.756226   ... -5.891531    1.6189021
  1.8894141 ]",3831179,not_lm,train,3831179,0.0,29975.0,2.0,4.0,0.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,22.0,9.0,0.0,1.0
60,"[ 0.17378289 -0.33276063 -5.847615   ... -9.743526   -4.8886046
 -4.862555  ]",3834247,not_lm,test,3834247,0.0,126207.0,7.0,5.0,7.0,24.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0
61,"[ 2.59271791 -1.19320381  2.15000471 ... -5.31195541  1.46033229
  1.73269159]",3839255,not_lm,test,3839255,0.0,81804.0,5.0,3.0,2.0,9.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0
62,"[ 0.39772075 -0.7212025   2.01120461 ... -1.53826618 -0.13969582
 -2.65085424]",3843851,not_lm,train,3843851,0.0,963.0,2.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
63,"[ 0.6261164  -0.05921888  1.057379   ... -2.4101892   0.3743359
  0.35576373]",3844294,not_lm,test,3844294,0.0,126929.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
64,"[-0.93470824 -1.5234658   1.5660791  ... -1.8691972  -0.26431507
  1.8833003 ]",3848916,not_lm,train,3848916,0.0,122.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
65,"[-1.0467467  -1.1543216   2.2425447  ... -1.6709453   0.24394941
  1.471711  ]",3849158,not_lm,test,3849158,0.0,264.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0
66,"[-0.8905524   0.31785053  1.72795971 ... -2.55896942  0.76791498
 -0.02736521]",3851209,not_lm,train,3851209,0.0,519.0,2.0,1.0,3.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
67,"[-0.07651928  0.21719283  0.47655147 ... -0.6019782  -0.34722662
  0.86833185]",3851625,not_lm,train,3851625,0.0,765.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0
68,"[-6.828827   -0.16464579 -4.4556446  ... -4.8110948  -2.344315
  5.8369875 ]",3856345,not_lm,train,3856345,0.0,209.0,3.0,4.0,19.0,14.0,0.0,2.0,2.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,3.0,0.0,0.0,23.0,10.0,0.0,0.0
69,"[ 0.99623024  1.2646557   1.5689538  ...  0.1548022   0.55361545
 -0.93105614]",3856911,not_lm,train,3856911,0.0,205.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0
70,"[-1.9533349  -1.1167474  -0.93009883 ... -3.2454348  -1.6326053
  0.540632  ]",3857363,not_lm,train,3857363,0.0,8196.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0
71,"[ -8.696674    3.4739413   2.0173316 ... -12.835914    3.6639647
 -14.693426 ]",3858217,not_lm,test,3858217,0.0,221.0,12.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,1.0
72,"[ 0.07041281 -0.37753892  1.0877963  ... -1.6632681  -0.6683228
  0.15775561]",3859697,not_lm,train,3859697,0.0,968.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0
73,"[-3.92989653 -3.51978333  1.30054145 ... -6.8686206  -1.79826006
  6.98342004]",3864226,not_lm,train,3864226,0.0,154.0,2.0,4.0,2.0,13.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0
74,"[-2.8739405  -1.906685    3.7345138  ... -2.976584   -0.06533533
  1.4658642 ]",3868102,not_lm,train,3868102,0.0,656.0,2.0,2.0,7.0,5.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
75,"[-2.185539   -2.4285035   1.7108029  ... -3.875804    0.11046648
  0.23131514]",3868110,not_lm,train,3868110,0.0,1075.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,7.0,9.0,0.0,0.0
76,[-1.3808656 -1.3910823  1.3289098 ... -1.7278862 -0.8045064  1.9695516],3868603,not_lm,test,3868603,0.0,101.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
77,"[-0.34947404  0.9401701   1.6717703  ... -1.3409631   0.3581526
 -0.62073064]",3869246,not_lm,test,3869246,0.0,220.0,2.0,1.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0
78,"[-0.28601274 -1.1160364   3.248383   ... -2.1669178  -1.4042549
  2.8069248 ]",3870545,not_lm,train,3870545,0.0,46.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,9.0,0.0,1.0
